ChannelID,subs,nvideos,views,Category,Language,Type
Y0000,131110,80,85907,news,Franch,NGO
Y0001,132838,1,186507,gaming,Chinese,NGO
Y0002,81102,43,105601,music,Japanese,NGO
Y0003,116162,48,130846,music,English,Individual
Y0004,82044,73,68985,gaming,Chinese,Goverment
Y0005,143581,76,210554,music,Japanese,Individual
Y0006,90787,77,82629,gaming,English,NGO
Y0007,76030,32,54348,travel,Spanish,Individual
Y0008,97254,65,139271,food,Chinese,Individual
Y0009,17546,11,25032,news,English,Goverment
Y0010,79586,69,66617,news,Japanese,Individual
Y0011,104118,40,1170,gaming,English,Individual
Y0012,187031,91,213905,news,Japanese,Goverment
Y0013,162194,57,160567,travel,Spanish,NGO
Y0014,34806,49,36025,music,Franch,Goverment
Y0015,195903,45,148214,gaming,Spanish,Individual
Y0016,1,7,0,news,Russia,NGO
Y0017,169753,37,114622,travel,Russia,Individual
Y0018,137920,7,99382,gaming,Russia,NGO
Y0019,125537,93,46156,travel,Japanese,Individual
Y0020,111716,71,128251,gaming,Chinese,Goverment
Y0021,63286,25,34168,food,English,NGO
Y0022,67387,81,52475,food,Chinese,Corperate
Y0023,39040,9,46758,travel,English,NGO
Y0024,60939,83,68313,gaming,English,Corperate
Y0025,121807,68,17589,gaming,Franch,NGO
Y0026,132796,62,175277,food,English,Individual
Y0027,93778,13,23373,food,Russia,NGO
Y0028,174202,97,177610,news,Russia,NGO
Y0029,1,37,639,food,Japanese,Individual
Y0030,72535,12,16157,news,Russia,Goverment
Y0031,122275,89,63855,food,English,Goverment
Y0032,114416,94,17468,travel,Spanish,Individual
Y0033,183555,12,120727,music,English,Individual
Y0034,30922,44,30373,gaming,English,Individual
Y0035,143836,95,81724,gaming,Spanish,Individual
Y0036,119647,61,170901,food,English,NGO
Y0037,41693,3,39653,music,Franch,NGO
Y0038,74399,55,64565,music,Chinese,Corperate
Y0039,185422,7,34652,gaming,English,Goverment
Y0040,119995,79,127603,news,Russia,Goverment
Y0041,55325,92,75989,food,English,Individual
Y0042,160316,96,7114,food,English,NGO
Y0043,132437,49,44349,gaming,English,Individual
Y0044,112118,56,85227,food,Japanese,Goverment
Y0045,54513,37,79786,food,English,Goverment
Y0046,20268,82,13415,news,English,Individual
Y0047,85154,13,2298,travel,Spanish,NGO
Y0048,137222,10,31358,news,English,Goverment
Y0049,30071,10,34977,music,Russia,Corperate
Y0050,213784,17,196224,gaming,Franch,Goverment
Y0051,90091,77,61258,travel,Chinese,Corperate
Y0052,202433,79,282290,music,English,Individual
Y0053,93467,98,69951,gaming,English,Goverment
Y0054,71271,65,37352,music,Chinese,NGO
Y0055,95549,5,49766,food,Spanish,Individual
Y0056,70371,4,56800,gaming,Chinese,Individual
Y0057,104623,42,56895,gaming,English,Individual
Y0058,139836,6,170184,food,English,Individual
Y0059,22364,25,20674,food,Russia,Goverment
Y0060,76349,99,100376,news,English,Individual
Y0061,85845,28,45020,travel,Franch,NGO
Y0062,105284,39,7835,travel,Spanish,NGO
Y0063,108943,93,82388,food,English,Individual
Y0064,26360,42,25957,music,English,Corperate
Y0065,147482,87,21078,news,Russia,Individual
Y0066,177263,24,217094,travel,English,NGO
Y0067,144516,53,202878,food,Japanese,Corperate
Y0068,166156,14,28464,travel,English,Individual
Y0069,58212,34,18146,gaming,English,Individual
Y0070,49010,48,32630,food,Spanish,Goverment
Y0071,32431,77,3703,music,English,NGO
Y0072,47379,88,17846,gaming,English,Individual
Y0073,33415,17,32127,news,Spanish,Individual
Y0074,75151,22,42507,music,English,Goverment
Y0075,314748,65,449893,news,English,Goverment
Y0076,1,16,0,travel,Russia,Individual
Y0077,138767,14,21861,travel,English,Individual
Y0078,93659,57,35218,news,English,NGO
Y0079,140808,55,66154,gaming,English,Individual
Y0080,139768,31,104831,news,English,NGO
Y0081,1,9,465,travel,Spanish,Goverment
Y0082,69444,93,42759,travel,English,Individual
Y0083,106680,87,113816,news,English,Goverment
Y0084,125443,64,157333,gaming,English,Corperate
Y0085,88524,8,80577,food,English,Individual
Y0086,41912,60,1471,travel,Franch,Goverment
Y0087,92974,9,92208,news,Japanese,Individual
Y0088,152751,41,196395,food,English,Individual
Y0089,147920,71,117532,news,Spanish,Goverment
Y0090,103514,46,41409,gaming,Chinese,Individual
Y0091,91829,35,51332,news,Japanese,Individual
Y0092,66209,12,74314,news,Spanish,Individual
Y0093,87701,9,85908,food,English,NGO
Y0094,137012,4,161152,news,Spanish,NGO
Y0095,83264,21,94047,news,English,Goverment
Y0096,125861,89,15821,food,Franch,Individual
Y0097,118466,89,90027,gaming,English,Goverment
Y0098,92530,24,50918,food,Russia,NGO
Y0099,68213,38,69613,music,English,Individual
Y0100,14638,96,3423,music,Russia,Individual
Y0101,95363,32,102561,news,English,Goverment
Y0102,40201,42,38332,food,Japanese,NGO
Y0103,79294,78,37463,gaming,Spanish,NGO
Y0104,79314,53,87957,travel,Russia,Individual
Y0105,61626,62,1876,news,Chinese,NGO
Y0106,109524,67,75334,food,English,Individual
Y0107,252622,68,289342,food,Spanish,Individual
Y0108,109880,71,157891,news,English,Goverment
Y0109,64467,90,61699,gaming,English,Goverment
Y0110,160135,95,223665,music,English,Goverment
Y0111,90380,12,41839,music,English,Goverment
Y0112,113670,11,102429,music,Russia,Individual
Y0113,130819,62,80440,food,Russia,Individual
Y0114,54808,62,15403,travel,English,NGO
Y0115,82279,51,106168,news,English,Individual
Y0116,134598,43,65965,music,English,Goverment
Y0117,232149,29,126309,gaming,Russia,Individual
Y0118,41888,80,41848,music,Franch,Corperate
Y0119,134213,5,63158,news,English,NGO
Y0120,110844,38,77084,music,English,Individual
Y0121,1,21,0,travel,English,NGO
Y0122,52907,78,31425,food,Japanese,NGO
Y0123,199265,32,282947,travel,English,NGO
Y0124,134816,46,31257,gaming,English,Corperate
Y0125,60023,99,49690,food,English,Goverment
Y0126,70650,59,31133,food,Chinese,Individual
Y0127,195368,15,122589,travel,Chinese,Goverment
Y0128,107699,74,127095,travel,Russia,Goverment
Y0129,42653,49,26402,music,English,NGO
Y0130,16898,73,19980,food,Chinese,Individual
Y0131,124346,78,87117,travel,Franch,Individual
Y0132,94012,42,76429,news,Spanish,Individual
Y0133,50037,22,26485,food,English,NGO
Y0134,48440,10,36074,travel,English,Goverment
Y0135,73725,30,22546,food,English,Individual
Y0136,72241,89,22617,gaming,Chinese,Corperate
Y0137,8783,49,8889,music,English,NGO
Y0138,151505,9,29501,food,English,NGO
Y0139,71217,64,85178,gaming,Japanese,NGO
Y0140,136160,34,106858,food,English,NGO
Y0141,40429,76,41549,travel,English,Corperate
Y0142,67939,58,80880,travel,English,Corperate
Y0143,82846,66,91304,music,Chinese,NGO
Y0144,114033,37,36854,travel,Japanese,NGO
Y0145,34963,29,44396,travel,Japanese,NGO
Y0146,147828,36,96198,travel,Russia,Individual
Y0147,5241,87,952,gaming,Japanese,Individual
Y0148,157704,21,100301,music,Russia,NGO
Y0149,184280,72,92709,news,Japanese,NGO
Y0150,98658,4,57447,news,English,Individual
Y0151,136024,2,73403,travel,English,Corperate
Y0152,59193,70,57471,food,Chinese,NGO
Y0153,1,41,0,travel,Chinese,Individual
Y0154,115428,51,147523,gaming,Franch,Individual
Y0155,90252,45,124011,music,Russia,Individual
Y0156,67954,99,14510,music,Russia,Goverment
Y0157,128822,18,90199,news,Franch,NGO
Y0158,175463,10,228316,music,English,NGO
Y0159,138215,52,6802,gaming,Chinese,Individual
Y0160,189977,31,238599,music,English,Individual
Y0161,128960,5,45074,gaming,Chinese,Goverment
Y0162,92536,39,132956,food,English,Goverment
Y0163,96728,34,7374,gaming,English,Corperate
Y0164,66010,15,48876,gaming,Russia,Individual
Y0165,38126,30,14459,music,Spanish,Goverment
Y0166,136908,36,100555,music,Russia,Individual
Y0167,102510,32,54452,news,Chinese,NGO
Y0168,212663,15,318062,news,English,Individual
Y0169,96295,73,72485,food,English,Goverment
Y0170,108064,62,51519,gaming,Spanish,Individual
Y0171,130253,85,131948,music,Japanese,Corperate
Y0172,35512,58,1621,food,English,NGO
Y0173,126075,32,108127,food,English,NGO
Y0174,111425,49,101333,food,Chinese,Corperate
Y0175,136689,1,81586,news,Chinese,Goverment
Y0176,95438,34,41479,news,Japanese,Individual
Y0177,73666,54,88604,food,English,Goverment
Y0178,68154,2,53032,travel,Spanish,Individual
Y0179,85469,9,108595,food,English,Individual
Y0180,105799,31,108793,travel,Japanese,Corperate
Y0181,38391,49,25437,travel,English,NGO
Y0182,148077,57,27912,food,English,Individual
Y0183,166664,56,208388,travel,Japanese,NGO
Y0184,145242,17,116435,gaming,Spanish,Individual
Y0185,146238,94,213054,gaming,English,Individual
Y0186,170669,58,220782,food,English,Individual
Y0187,49080,73,12235,gaming,Russia,Individual
Y0188,107241,69,40970,news,Russia,Goverment
Y0189,112300,48,103238,travel,Japanese,Individual
Y0190,129937,91,64737,gaming,Franch,Individual
Y0191,43598,58,35233,news,English,NGO
Y0192,121395,19,177508,gaming,Russia,Individual
Y0193,103925,9,151476,music,English,Goverment
Y0194,90525,22,79850,news,English,NGO
