year,month,day,tmax,tmin,precip,snow,snowcover,0
1897.0,1.0,1.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,2.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,3.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,4.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,5.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,6.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,7.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,8.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,9.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,10.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,11.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,12.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,13.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,14.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,15.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,16.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,17.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,18.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,19.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,20.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,21.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,22.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,23.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,24.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,25.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,26.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,27.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,28.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,29.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,30.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,1.0,31.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,1.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,2.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,3.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,4.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,5.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,6.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,7.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,8.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,9.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,10.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,11.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,12.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,13.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,14.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,15.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,16.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,17.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,18.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,19.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,20.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,21.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,22.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,23.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,24.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,25.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,26.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,27.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,28.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,2.0,29.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,1.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,2.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,3.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,4.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,5.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,6.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,7.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,8.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,9.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,10.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,11.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,12.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,13.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,14.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,15.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,16.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,17.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,18.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,19.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,20.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,21.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,22.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,23.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,24.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,25.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,26.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,27.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,28.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,29.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,30.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,3.0,31.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,1.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,2.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,3.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,4.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,5.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,6.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,7.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,8.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,9.0,-998.0,-998.0,-998.0,-998.0,-998.0,
1897.0,4.0,10.0,-998.0,-998.0,-998.0,-998.0,-998.0,
